Bank Branch,Credit Verification Status,Default Flag,Description,Grade,Late Payment Flag,Loan Id,Loan Status,Loan SubType,Loan Type,Member Id,Origination Date,State,Sub Grade,Zip Code,Amort Term,Deposit Balance Month End,FICO Score,Interest Rate,IR,Origination Amount,Received Principal
450,Not Verified,,Aug 30 Day,B,On-Time,40167,Fully Paid,Commercial real estate,Business Banking,9318152,11/23/2020 12:00:00 AM,IL,B5,60655,360,0,772,7.75,0.0775,33700,33700
450,Not Verified,,Aug 30 Day,B,On-Time,3336,Fully Paid,Commercial real estate,Business Banking,10838508,3/28/2013 12:00:00 AM,MA,B5,23020,360,0,676,11.25,0.1125,28500,28500
450,Not Verified,,Aug 30 Day,B,On-Time,15083,Fully Paid,Commercial real estate,Business Banking,31107038,5/3/2020 12:00:00 AM,MD,B5,20747,360,0,705,10.125,0.10125,60600,60600
450,Not Verified,,Aug 30 Day,B,On-Time,25022,Fully Paid,Commercial real estate,Business Banking,25865978,1/5/2015 12:00:00 AM,MI,B5,48062,300,0,657,11.49,0.1149,38500,38500
450,Not Verified,,Aug 30 Day,B,On-Time,13952,Fully Paid,Commercial real estate,Business Banking,25966401,1/9/2015 12:00:00 AM,MN,B5,55448,360,0,789,8.875,0.08875,48400,48400
450,Not Verified,,Aug 30 Day,B,On-Time,19386,Fully Paid,Commercial real estate,Business Banking,25986287,1/11/2015 12:00:00 AM,MO,B5,64772,360,0,683,9.375,0.09375,26200,26200
450,Not Verified,,Aug 30 Day,B,On-Time,69032,Fully Paid,Commercial real estate,Business Banking,34701352,6/7/2013 12:00:00 AM,NV,B5,89030,353,0,495,11.39,0.1139,120000,120000
450,Not Verified,,Aug 30 Day,B,On-Time,68295,Fully Paid,Commercial real estate,Business Banking,22701793,1/11/2014 12:00:00 AM,TX,B5,75009,349,0,622,7.99,0.0799,208700,208700
450,Not Verified,,Aug 30 Day,B,On-Time,10033,Fully Paid,Commercial real estate,Business Banking,31066462,4/26/2020 12:00:00 AM,VA,B5,20186,300,0,679,11.025,0.11025,47600,47600
450,Not Verified,,Aug 30 Day,B,On-Time,7059,Fully Paid,Commercial real estate,Business Banking,26196594,1/28/2015 12:00:00 AM,VA,B5,20121,300,0,786,8.75,0.0875,73500,73500
450,Not Verified,,Aug 30 Day,B,On-Time,31167,Fully Paid,Commercial real estate,Business Banking,26197282,1/29/2015 12:00:00 AM,VA,B5,22030,360,0,732,8.75,0.0875,93720,93720
4,Not Verified,,Aug 30 Day,B,On-Time,69144,Fully Paid,Lines of credit,Business Banking,22751380,1/18/2014 12:00:00 AM,CA,B5,90063,350,0,626,10.1,0.101,399000,399000
4,Not Verified,,Aug 30 Day,B,On-Time,3530,Fully Paid,Lines of credit,Business Banking,31117471,5/6/2020 12:00:00 AM,CA,B5,94086,360,0,710,10.5,0.105,161000,161000
4,Not Verified,,Aug 30 Day,B,On-Time,70500,Fully Paid,Lines of credit,Business Banking,15549717,9/26/2014 12:00:00 AM,CA,B5,95020,360,0,690,8.49,0.0849,556000,556000
4,Not Verified,,Aug 30 Day,B,On-Time,10815,Fully Paid,Lines of credit,Business Banking,8101274,6/26/2015 12:00:00 AM,CA,B5,92591,300,0,664,12.025,0.12025,55000,55000
4,Not Verified,,Aug 30 Day,B,On-Time,3114,Fully Paid,Lines of credit,Business Banking,8092572,6/21/2015 12:00:00 AM,CA,B5,94531,360,0,682,11,0.11,40600,40600
4,Not Verified,,Aug 30 Day,B,On-Time,35977,Fully Paid,Lines of credit,Business Banking,8121952,7/2/2015 12:00:00 AM,CA,B5,95123,360,0,749,9,0.09,148000,148000
